name,fsm,swarm,iteraciones,score
aggregation_100%,{1: '--nstates 2 --s0 7 --rwm0 5 --cle0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 6 --f0x0 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 6 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5'},[10],10,"[0.371577, 0.335529, 0.541409, 0.425706, 0.266298, 0.596645, 0.680397, 0.564901, 0.307164, 0.590686]"
aggregation_80%,{1: '--nstates 2 --s0 7 --rwm0 5 --cle0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 6 --f0x0 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 6 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5'},[10],10,"[0.283082, 0.295258, 0.310988, 0.463422, 0.356498, 0.34073, 0.251024, 0.280387, 0.235276, 0.437987]"
aggregation_60%,{1: '--nstates 2 --s0 7 --rwm0 5 --cle0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 6 --f0x0 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 6 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5'},[10],10,"[0.226654, 0.311664, 0.276755, 0.202357, 0.241261, 0.297644, 0.37031, 0.31224, 0.222361, 0.374912]"
aggregation_40%,{1: '--nstates 2 --s0 7 --rwm0 5 --cle0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 6 --f0x0 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 6 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5'},[10],10,"[0.255824, 0.23365, 0.20081, 0.246105, 0.215858, 0.254914, 0.244668, 0.439808, 0.352309, 0.206295]"
aggregation_20%,{1: '--nstates 2 --s0 7 --rwm0 5 --cle0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 6 --f0x0 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 6 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5'},[10],10,"[0.23295, 0.237391, 0.260278, 0.395877, 0.202098, 0.239667, 0.211807, 0.225061, 0.227009, 0.217898]"
homing_habanero_100%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 5 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 1 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 5 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[8, 8, 8, 9, 10, 10, 9, 9, 8, 9]"
homing_habanero_80%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 5 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 1 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 5 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[9, 8, 7, 8, 10, 9, 10, 8, 8, 8]"
homing_habanero_60%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 5 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 1 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 5 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[9, 8, 9, 9, 9, 9, 10, 9, 8, 9]"
homing_habanero_40%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 5 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 1 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 5 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[8, 9, 8, 9, 9, 9, 10, 10, 9, 10]"
homing_habanero_20%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 5 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 1 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 5 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[9, 7, 8, 9, 10, 3, 0, 0, 9, 1]"
homing_tutti_100%,{1: '--nstates 3 --s0 7 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 6 --f0x1 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 1 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 9 --fov2 1 --vel2 1.0 --cle2 6 --clr2 6 --phe2 0 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[9, 10, 9, 9, 8, 6, 4, 8, 10, 10]"
homing_tutti_80%,{1: '--nstates 3 --s0 7 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 6 --f0x1 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 1 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 9 --fov2 1 --vel2 1.0 --cle2 6 --clr2 6 --phe2 0 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[9, 9, 5, 6, 6, 4, 0, 6, 8, 9]"
homing_tutti_60%,{1: '--nstates 3 --s0 7 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 6 --f0x1 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 1 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 9 --fov2 1 --vel2 1.0 --cle2 6 --clr2 6 --phe2 0 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[8, 8, 9, 10, 2, 0, 0, 4, 5, 3]"
homing_tutti_40%,{1: '--nstates 3 --s0 7 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 6 --f0x1 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 1 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 9 --fov2 1 --vel2 1.0 --cle2 6 --clr2 6 --phe2 0 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[2, 9, 1, 0, 4, 0, 3, 7, 4, 0]"
homing_tutti_20%,{1: '--nstates 3 --s0 7 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 1 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.8 --l0x1 6 --f0x1 1 --s1 9 --fov1 1 --vel1 1.0 --cle1 6 --clr1 1 --phe1 0 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 9 --fov2 1 --vel2 1.0 --cle2 6 --clr2 6 --phe2 0 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[7, 2, 10, 7, 3, 3, 0, 1, 1, 0]"
aggregation_habanero_100%,{1: '--nstates 2 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 1 --n0x0 0 --c0x0 4 --p0x0 0.8 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 2 --n1 1 --n1x0 0 --c1x0 4 --p1x0 0.9'},[10],10,"[0.420183, 0.71735, 0.841526, 0.272859, 0.807874, 0.381358, 0.297223, 0.338058, 0.514885, 0.520095]"
aggregation_habanero_80%,{1: '--nstates 2 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 1 --n0x0 0 --c0x0 4 --p0x0 0.8 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 2 --n1 1 --n1x0 0 --c1x0 4 --p1x0 0.9'},[10],10,"[0.676329, 0.773159, 0.730917, 0.48508, 0.896399, 0.514532, 0.689221, 0.805217, 0.575917, 0.350578]"
aggregation_habanero_60%,{1: '--nstates 2 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 1 --n0x0 0 --c0x0 4 --p0x0 0.8 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 2 --n1 1 --n1x0 0 --c1x0 4 --p1x0 0.9'},[10],10,"[0.506437, 0.854984, 0.773779, 0.732707, 0.574138, 0.495898, 0.777181, 0.362177, 0.81974, 0.682252]"
aggregation_habanero_40%,{1: '--nstates 2 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 1 --n0x0 0 --c0x0 4 --p0x0 0.8 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 2 --n1 1 --n1x0 0 --c1x0 4 --p1x0 0.9'},[10],10,"[0.497895, 0.411835, 0.593626, 0.537581, 0.88585, 0.681273, 0.270462, 0.65628, 0.504216, 0.247542]"
aggregation_habanero_20%,{1: '--nstates 2 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 1 --n0x0 0 --c0x0 4 --p0x0 0.8 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 2 --n1 1 --n1x0 0 --c1x0 4 --p1x0 0.9'},[10],10,"[0.7354, 0.392321, 0.823217, 0.498319, 0.677439, 0.605556, 0.224778, 0.618473, 0.486127, 0.64944]"
aggregation_tutti_100%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 5 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.3 --l0x1 6 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 6 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[0.466139, 0.411476, 0.672523, 0.579901, 0.614009, 0.661457, 0.589793, 0.524706, 0.439067, 0.533035]"
aggregation_tutti_80%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 5 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.3 --l0x1 6 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 6 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[0.32914, 0.623362, 0.705302, 0.690085, 0.496624, 0.573142, 0.509591, 0.609847, 0.49379, 0.395702]"
aggregation_tutti_60%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 5 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.3 --l0x1 6 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 6 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[0.293464, 0.491237, 0.495027, 0.570044, 0.549807, 0.381477, 0.472894, 0.30248, 0.224333, 0.462042]"
aggregation_tutti_40%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 5 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.3 --l0x1 6 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 6 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[0.413326, 0.263202, 0.223142, 0.427252, 0.417201, 0.244414, 0.245405, 0.291727, 0.353678, 0.258104]"
aggregation_tutti_20%,{1: '--nstates 3 --s0 0 --rwm0 5 --cle0 0 --phe0 0 --n0 2 --n0x0 0 --c0x0 5 --p0x0 0.9 --l0x0 5 --f0x0 1 --n0x1 1 --c0x1 5 --p0x1 0.3 --l0x1 6 --f0x1 1 --s1 2 --fov1 1 --vel1 1.0 --cle1 0 --clr1 5 --phe1 1 --n1 1 --n1x0 0 --c1x0 3 --p1x0 0.5 --s2 2 --fov2 1 --vel2 1.0 --cle2 0 --clr2 6 --phe2 1 --n2 1 --n2x0 0 --c2x0 3 --p2x0 0.5'},[10],10,"[0.214118, 0.232055, 0.247237, 0.230093, 0.224824, 0.23805, 0.237006, 0.239872, 0.217634, 0.255256]"
tasking_habanero_100%,{1: '--nstates 3 --s0 3 --fov0 1.6 --vel0 1.0 --clr0 2 --phe0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.5 --l0x0 2 --f0x0 1.6 --s1 2 --fov1 1.6 --vel1 1.0 --clr1 2 --phe1 0 --n1 2 --n1x0 1 --c1x0 1 --p1x0 0.8 --n1x1 0 --c1x1 5 --p1x1 1 --l1x1 5 --f1x1 1.6 --s2 4 --phe2 2 --n2 1 --n2x0 0 --c2x0 4 --p2x0 0.05 '},[20],10,"[-5, -12, -4, -10, -2, -9, -3, -5, -5, -13]"
tasking_habanero_80%,{1: '--nstates 3 --s0 3 --fov0 1.6 --vel0 1.0 --clr0 2 --phe0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.5 --l0x0 2 --f0x0 1.6 --s1 2 --fov1 1.6 --vel1 1.0 --clr1 2 --phe1 0 --n1 2 --n1x0 1 --c1x0 1 --p1x0 0.8 --n1x1 0 --c1x1 5 --p1x1 1 --l1x1 5 --f1x1 1.6 --s2 4 --phe2 2 --n2 1 --n2x0 0 --c2x0 4 --p2x0 0.05 '},[16],10,"[-2, -10, -1, -5, -7, -8, -6, -7, -12, -7]"
tasking_habanero_60%,{1: '--nstates 3 --s0 3 --fov0 1.6 --vel0 1.0 --clr0 2 --phe0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.5 --l0x0 2 --f0x0 1.6 --s1 2 --fov1 1.6 --vel1 1.0 --clr1 2 --phe1 0 --n1 2 --n1x0 1 --c1x0 1 --p1x0 0.8 --n1x1 0 --c1x1 5 --p1x1 1 --l1x1 5 --f1x1 1.6 --s2 4 --phe2 2 --n2 1 --n2x0 0 --c2x0 4 --p2x0 0.05 '},[12],10,"[9, -4, -2, 0, -4, 5, -8, -1, 3, 0]"
tasking_habanero_40%,{1: '--nstates 3 --s0 3 --fov0 1.6 --vel0 1.0 --clr0 2 --phe0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.5 --l0x0 2 --f0x0 1.6 --s1 2 --fov1 1.6 --vel1 1.0 --clr1 2 --phe1 0 --n1 2 --n1x0 1 --c1x0 1 --p1x0 0.8 --n1x1 0 --c1x1 5 --p1x1 1 --l1x1 5 --f1x1 1.6 --s2 4 --phe2 2 --n2 1 --n2x0 0 --c2x0 4 --p2x0 0.05 '},[8],10,"[2, 0, 6, 2, 6, -4, 5, 12, 7, 9]"
tasking_habanero_20%,{1: '--nstates 3 --s0 3 --fov0 1.6 --vel0 1.0 --clr0 2 --phe0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.5 --l0x0 2 --f0x0 1.6 --s1 2 --fov1 1.6 --vel1 1.0 --clr1 2 --phe1 0 --n1 2 --n1x0 1 --c1x0 1 --p1x0 0.8 --n1x1 0 --c1x1 5 --p1x1 1 --l1x1 5 --f1x1 1.6 --s2 4 --phe2 2 --n2 1 --n2x0 0 --c2x0 4 --p2x0 0.05 '},[4],10,"[5, 4, -3, 3, 4, 3, 5, 3, 0, 3]"
tasking_tutti_100%,{1: '--nstates 3 --s0 10 --fov0 1.6 --vel0 1.0 --clr0 2 --cle0 0 --phe0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.5 --l0x0 2 --f0x0 1.6 --s1 9 --fov1 1.6 --vel1 1.0 --clr1 2 --cle1 0 --phe1 0 --n1 2 --n1x0 1 --c1x0 1 --p1x0 0.8 --n1x1 0 --c1x1 5 --p1x1 1 --l1x1 6 --f1x1 1.6 --s2 11 --phe2 0 --cle2 6 --n2 1 --n2x0 0 --c2x0 4 --p2x0 0.01 '},[20],10,"[-14, -18, -16, -17, -18, -14, -16, -15, -17, -16]"
tasking_tutti_80%,{1: '--nstates 3 --s0 10 --fov0 1.6 --vel0 1.0 --clr0 2 --cle0 0 --phe0 0 --n0 1 --n0x0 0 --c0x0 5 --p0x0 0.5 --l0x0 2 --f0x0 1.6 --s1 9 --fov1 1.6 --vel1 1.0 --clr1 2 --cle1 0 --phe1 0 --n1 2 --n1x0 1 --c1x0 1 --p1x0 0.8 --n1x1 0 --c1x1 5 --p1x1 1 --l1x1 6 --f1x1 1.6 --s2 11 --phe2 0 --cle2 6 --n2 1 --n2x0 0 --c2x0 4 --p2x0 0.01 '},[16],10,"[-13, -15, -16, -13, -11, -12, -14, -14, -12, -14]"
